workerid,proliferate.condition,accuracy,category,cond,conj1,conj1_num,conj2,conj2_num,dataType,internal_node_id,item,response,rt,stimulus,text,time_elapsed,trial_index,trial_type,error
1752,Main,,irb,,,,,,,0.0-0.0,,0,18205,"<p><font size=""3"">We invite you to participate in a research study on language production and comprehension. Your experimenter will ask you to do a linguistic task such as reading sentences or words, naming pictures or describing scenes, making up sentences of your own, or participating in a simple language game. <br><br>There are no risks or benefits of any kind involved in this study. <br><br>You will be paid for your participation at the posted rate.<br><br>If you have read this form and have decided to participate in this experiment, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at anytime without penalty or loss of benefits to which you are otherwise entitled. You have the right to refuse to do particular tasks. Your individual privacy will be maintained in all published and written data resulting from the study. You may print this form for your records.<br><br>CONTACT INFORMATION: If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director Meghan Sumner at (650)-725-9336. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650)-723-2480 or toll free at 1-866-680-2906. You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306 USA.<br><br>If you agree to participate, please proceed to the study tasks.</font></p>",,18213,0,html-button-response,
1752,Main,,instructions,,,,,,,0.0-1.0,, ,28627,"In this experiment, you will read a series of sentences and will be asked to indicate the word which best completes it.<br><br><strong>Please type the word 'is' or 'are' in the blank.</strong> <br><br>If you're unsure about your choice, follow your first instinct.<br><br>When you're ready to begin, press the space bar.",,46840,1,html-keyboard-response,
1752,Main,,,PS,these architects,P,Mateo,S,Critical,0.0-2.0-0.0,13,['are'],,,"Either these architects or Mateo %is,are% designing the building's layout.",70953,2,cloze,
1752,Main,,,SP,Hank,S,those parents,P,Critical,0.0-2.0-0.1,24,['are'],,,"Either Hank or those parents %is,are% taking care of the babies.",77673,3,cloze,
1752,Main,,,PP,these girls,P,those boys,P,Filler,0.0-2.0-0.2,26,['are'],,,"Both these girls and those boys %is,are% interviewing the movie star.",85352,4,cloze,
1752,Main,,,S,Hasan,S,,,Filler,0.0-2.0-0.3,65,['is'],,,"Hasan %is,are% decorating the gallery.",90055,5,cloze,
1752,Main,,,S,Pedro,S,,,Filler,0.0-2.0-0.4,53,['is'],,,"Pedro %is,are% editing the academic journal.",94609,6,cloze,
1752,Main,,,S,Mateo,S,,,Filler,0.0-2.0-0.5,50,['is'],,,"Mateo %is,are% organizing the charity event.",99484,7,cloze,
1752,Main,,,PS,those volunteers,P,Hasan,S,Critical,0.0-2.0-0.6,20,['are'],,,"Either those volunteers or Hasan %is,are% sorting the books.",104389,8,cloze,
1752,Main,,,P,those athletes,P,,,Filler,0.0-2.0-0.7,48,['are'],,,"Those athletes %is,are% working out at the gym.",108468,9,cloze,
1752,Main,,,P,those volunteers,P,,,Filler,0.0-2.0-0.8,45,['are'],,,"Those volunteers %is,are% sorting the books.",112182,10,cloze,
1752,Main,,,PS,these research assistants,P,Fatima,S,Filler,0.0-2.0-0.9,32,['are'],,,"Both these research assistants and Fatima %is,are% conducting the experiments.",119966,11,cloze,
1752,Main,,,SP,Lisa,S,those children,P,Filler,0.0-2.0-0.10,30,['are'],,,"Both Lisa and those children %is,are% preparing dinner.",124123,12,cloze,
1752,Main,,,PS,those students,P,William,S,Critical,0.0-2.0-0.11,2,['are'],,,"Either those students or William %is,are% drafting the important email.",129748,13,cloze,
1752,Main,,,PP,those police officers,P,those detectives,P,Filler,0.0-2.0-0.12,28,['are'],,,"Both those police officers and those detectives %is,are% investigating the crime scene.",134789,14,cloze,
1752,Main,,,PS,those designers,P,Brian,S,Filler,0.0-2.0-0.13,34,['are'],,,"Both those designers and Brian %is,are% creating the fashion collection.",139386,15,cloze,
1752,Main,,,S,Alex,S,,,Filler,0.0-2.0-0.14,58,['is'],,,"Alex %is,are% installing the security system.",143346,16,cloze,
1752,Main,,,S,Lin,S,,,Filler,0.0-2.0-0.15,51,['is'],,,"Lin %is,are% reviewing the project proposals.",146511,17,cloze,
1752,Main,,,SP,Lisa,S,those children,P,Critical,0.0-2.0-0.16,5,['are'],,,"Either Lisa or those children %is,are% preparing dinner.",150742,18,cloze,
1752,Main,,,PS,those electricians,P,Melissa,S,Filler,0.0-2.0-0.17,33,['are'],,,"Both those electricians and Melissa %is,are% fixing the wiring issues.",156479,19,cloze,
1752,Main,,,S,Jimmy,S,,,Filler,0.0-2.0-0.18,61,['is'],,,"Jimmy %is,are% fertilizing the fields.",159869,20,cloze,
