experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Platelet Rich Growth Factor or PRGF	is	be	Sing	product	cop	Platelet Rich Growth Factor or PRGF is a by-product of blood that is exceptionally rich in platelets.	c4-train.00001-of-01024_parsed_xac.conllu
UNK	False	False	Sing	Not Pronoun	UNK	Not Pronoun	An extra tweet or two a day	seems	seem	Sing	seem	root	An extra tweet or two a day seems like nothing much extra, but then there is Instagram, replying to tweets usually more or less immediately, tagging the right people, monitoring other tweets and so on and so on.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	an executor or trustee	acts	act	Sing	act	advcl	So long as an executor or trustee acts in good faith and within the scope of his or her powers, his or her acts cannot be successfully challenged.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Polycystic ovary syndrome or PCOS	is	be	Sing	condition	cop	Polycystic ovary syndrome or PCOS is a condition that can cause infertility.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	any technical tool used for expressive means from varied vibrato to the bow 's position on the string or indeed slides such as here	need	need	Plur	need	root	But, any technical tool used for expressive means from varied vibrato to the bow's position on the string or indeed slides such as here, need to be applied judiciously.	c4-train.00001-of-01024_parsed_xac.conllu
PS	False	False	Plur	Not Pronoun	Sing	Not Pronoun	Bamboo walls or flooring	are	be	Plur	choice	cop	Bamboo walls or flooring are eco-friendly choices.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the weekend headache or holiday flu	being	be		example	cop	On many occasions acute illness has its roots in emotional, mental or spiritual stress, the weekend headache or holiday flu being examples.	c4-train.00001-of-01024_parsed_xac.conllu
SP	False	False	Sing	Not Pronoun	Plur	Not Pronoun	your poster history graphic or visuals	is	be	Sing	go	aux	- Many of the opportunity your poster history graphic or visuals is going to dominate the style.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your poster history picture or graphic	is	be	Sing	go	aux	Like I stated in the previous factor, your poster history picture or graphic is actually going to control the banner.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	composite material or rubber	is	be	Sing	choice	cop	For a tactical model, composite material or rubber is the common choice.	c4-train.00001-of-01024_parsed_xac.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	interaction or criticism	comes	come	Sing	come	advcl	Publish examples of both positive and negative feedback where appropriate, with your consent and, if you wish, anonymously, except where interaction or criticism comes in the form of so-called “hate mail,” or similar, regarding which we will reserve the right to publish the relevant messages on the website and reply to them publicly without explicitly consulting the sender or seeking the sender’s consent.	c4-train.00001-of-01024_parsed_xac.conllu
