experiment_condition	has_either	has_neither	conj_1_number	conj_1_person	conj_2_number	conj_2_person	nsubj	verb_form	verb_lemma	verb_number	main_predicate_lemma	main_predicate_arc	sentence	filename
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	enough runoff or evaporation	happens	happen	Sing	happen	advcl	When it rains, many yards turn into muddy, deep puddle-filled messes that aren't manageable until enough runoff or evaporation happens a day or two later.	c4-train.00001-of-01024_parsed_xab.conllu
UNK	False	False	UNK	Not Personal Pronoun	UNK	Not Personal Pronoun	Who , or what ,	is	be	Sing	agent	cop	Who, or what, is the agent of counter-finality?	c4-train.00001-of-01024_parsed_xab.conllu
PP	False	False	Plur	Not Pronoun	Plur	Not Pronoun	different outlets or stores in the same area or country	carry	carry	Plur	carry	acl:relcl	Additionally, it is very easy to envision the way different outlets or stores in the same area or country carry out their operations to get shipment which is cheaper by having the same distributor.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	your spouse or lover	is	be	Sing	hide	aux	Ever get the feeling your spouse or lover is hiding something?	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Foot - and - mouth disease or hoof - and - mouth disease ( Aphtae epizooticae )	is	be	Sing	disease	cop	"Foot-and-mouth disease or hoof-and-mouth disease (Aphtae epizooticae) is an infectious and sometimes fatal viral disease that affects cloven-hoofed animals, including domestic and wild bovids.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	3	Sing	3	he or she	needs	need	Sing	need	acl:relcl	Your Pennsylvania-based brachial plexus and palsy lawyer and nursing staff from Foley Law Firm can help you attain the full compensation you need to ensure that your child receives the care he or she needs to have as fulfilling a life as possible.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	virtually any business or organization	needs	need	Sing	need	root	In order to remain competitive, thrive, or even "exist” in business today, virtually any business or organization needs a web presence.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	RUM or the 30 / 338 Lapua imp.	is	be	Sing	performer	cop	RUM or the 30/338 Lapua imp. is an excellent performer.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the stream server or the stream source server at the office	is	be	Sing	run	aux	This indicates that the stream server or the stream source server at the office isn’t running.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	A gym or fitness center	has	have	Sing	have	root	A gym or fitness center has a number of different training equipment.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	the flux ratio or mass ratio of the narrow and broad components , which serves as an estimate of the fraction of HI gas in the cold phase ,	tends	tend	Sing	tend	root	Moreover, the flux ratio or mass ratio of the narrow and broad components, which serves as an estimate of the fraction of HI gas in the cold phase, tends to decrease with radius.	c4-train.00001-of-01024_parsed_xab.conllu
SS	False	False	Sing	Not Pronoun	Sing	Not Pronoun	Jesse Jackson , and / or Al Sharpton	does	do	Sing	talk	aux	Why doesn’t Jesse Jackson, and/or Al Sharpton talk about Blacks killing each other?	c4-train.00001-of-01024_parsed_xab.conllu
